beatmap_id,artist,title,version,dominant_mods,sr,farm_score,base_farm_score,confidence,confidence_label,efficiency_agreement,efficiency_disagreement,disagreement_penalty,pp_efficiency_shrunk,realized_efficiency_shrunk,overrep,profile_impact,median_position,top10_count,top20_count,top30_count,forgiveness,median_acc,pct_miss_free,median_combo_ratio,hit_length,cs,od,mean_pp,p90_pp,max_pp,raw_count,passcount,url
5541583,S3RL,Bass Slut (Original Mix) (Sped Up & Cut Ver.),Another,NM,4.82653,2.06943664266611,2.06943664266611,0.5238095238095238,supported,corroborated,0.0,0.0,0.09765887326768714,0.0948425689569271,1.0195841671113153,0.22496463732364572,20.5,2,11,13,0.4230440139076418,97.4537,0.2727272727272727,0.6062906724511931,80,3.4,8.2,176.40646363636364,367.1857000000001,412.15,22,10711,https://osu.ppy.sh/b/5541583
5314363,Mei You Hua Xiang De HANA,Science (feat. Kasane Teto SV) (Cut Ver.),OnLoong's Insane,NM,4.80324,1.868972503586467,1.868972503586467,0.2857142857142857,explore,corroborated,0.0,0.0,0.12517839654467522,0.055331831655349765,0.7217292526726223,0.22237291569113274,41.5,2,3,4,1.6842634940585581,94.06475,0.0,0.3767228177641654,111,3.8,8.0,94.3610875,150.8207,155.636,8,10195,https://osu.ppy.sh/b/5314363
651244,Feint,Horizons (feat. Veela),apple's Insane,NM,4.83977,1.7334317852209808,1.7334317852209808,0.574468085106383,supported,corroborated,0.0,0.0,0.09274358891936792,0.07030117540722636,0.13237519723752222,0.2091846923183033,32.0,3,8,13,-0.44678497734226474,96.76740000000001,0.7407407407407407,0.9982046678635548,90,4.0,8.2,174.23791481481481,396.03280000000007,431.946,27,97547,https://osu.ppy.sh/b/651244
4829152,B Komachi,POP IN 2 (TV Size),B-Komachi's Revival?! The Next Hoshino Ai?!,NM,5.35431,1.6893352235810393,1.6893352235810393,0.574468085106383,supported,corroborated,0.0,0.0,0.10347772059595194,0.05778743149301662,0.7303721800049495,0.23904289017477892,36.0,4,10,13,0.3826619085281797,96.9181,0.37037037037037035,0.7001897533206831,84,4.0,8.6,153.03327037037036,202.32620000000003,298.741,27,57911,https://osu.ppy.sh/b/4829152
958661,Rameses B,Neon Rainbow (ft. Anna Yvette),Spectrum,NM,5.26144,1.6597403994895266,1.6597403994895266,0.803921568627451,high_conf,corroborated,0.0,0.0,0.08739837994600327,0.06840371771920942,0.12432464371751577,0.18594773726662372,42.5,8,17,26,-0.5847387478129485,98.33625,0.6463414634146342,0.9985855728429985,111,4.0,8.5,207.18793414634146,300.3777000000002,597.282,82,145101,https://osu.ppy.sh/b/958661
3180969,luvlxckdown,tbh i dont like being social,cell towers,NM,5.24603,1.618879868365839,1.618879868365839,0.5238095238095238,supported,corroborated,0.0,0.0,0.08527971011294595,0.0666614075841868,0.566640854036616,0.2452729999645043,30.0,5,8,12,0.7643621480626187,95.20224999999999,0.3181818181818182,0.7061567164179104,91,4.0,8.6,118.95978636363635,164.49280000000002,184.586,22,48507,https://osu.ppy.sh/b/3180969
1608832,Komiya Mao,(can you) understand me?,heh?,NM,4.9883,1.5939603517371075,1.5939603517371075,0.9818016378525932,high_conf,corroborated,0.0,0.0,0.10366890382107849,0.049525821379774425,0.5938341657696816,0.1921725801251526,46.0,112,240,357,-0.4456226707034459,98.29830000000001,0.5681186283595923,1.0,84,3.8,9.0,185.10825134383688,276.095,612.132,1079,1697121,https://osu.ppy.sh/b/1608832
3237842,osu! virgin gang,Quintuplets On My Line (feat. Kariyu),Nino Gang,NM,5.22618,1.5548525660925236,1.5548525660925236,0.7402597402597403,supported,corroborated,0.0,0.0,0.11769011703252011,0.0347516102794724,0.2577001405674886,0.17296931586365946,48.0,2,10,14,0.05266227768283951,97.34089999999999,0.42105263157894735,0.8939051918735892,76,4.0,8.5,156.15940701754386,194.05499999999998,575.096,57,83086,https://osu.ppy.sh/b/3237842
466789,DJ Genericname,Dango Dango Daikazoku (Drum and Bass Remix),Insane,NM,4.95528,1.5364863170811625,1.5364863170811625,0.726027397260274,supported,corroborated,0.0,0.0,0.06861723787885138,0.07326679198778129,0.03140642921331117,0.20630526173136987,50.0,6,10,18,-0.7568592005299539,98.8782,0.7358490566037735,1.0,107,4.0,8.0,205.89566226415096,404.2084000000002,496.85,53,116192,https://osu.ppy.sh/b/466789
1849505,Will Stetson,Harumachi Clover (Swing Arrangement),Expert,NM,4.85533,1.527007367033883,1.527007367033883,0.9507389162561576,high_conf,corroborated,0.0,0.0,0.09558430108335349,0.05043819365497596,-0.14028663499411576,0.197292935860822,46.0,46,89,137,0.7383144190128476,91.77815,0.5492227979274611,0.9934640522875817,28,3.8,8.7,123.7477702072539,249.877,430.682,386,1133775,https://osu.ppy.sh/b/1849505
